original,simplification,original_id,simplification_id,pair_id,domain,corpus,language_level_original,language_level_simple,license,author,simple_url,complex_url,simple_title,complex_title,access_date,rater,alignment,malformed_complex,malformed_simple,duration_rating,ambiguity_original,ambiguity_simple,coherence_original,coherence_simple,grammaticality_original,grammaticality_simple,information_gain,lexical_simplicity,meaning_preservation,simplicity,simplicity_original,simplicity_simple,structural_simplicity,paragraph#,paragraph#deletion*,paragraph#insert*,paragraph#insert*examplification+,paragraph#insert*explanation+,paragraph#insert*other+,paragraph#merge*,paragraph#reorder*,paragraph#reorder*other+,paragraph#reorder*sentence-order-changed+,phrase#,phrase#deletion*,phrase#deletion*clause+,phrase#deletion*less_adjunct_phrase+,phrase#deletion*other+,phrase#deletion*phrase+,phrase#deletion*replace+,phrase#insert*,phrase#insert*clause+,phrase#insert*other+,phrase#insert*phrase+,phrase#reorder*,phrase#reorder*discontinuity_resolution+,phrase#reorder*other+,phrase#rephrase*,sentence#,sentence#lexical_substitution*,sentence#lexical_substitution*other+,sentence#lexical_substitution*verbalization+,sentence#no_operation*,sentence#reorder*,sentence#reorder*genitive_to_dative+,sentence#reorder*negative_to_positive+,sentence#reorder*other+,sentence#reorder*subject-verb-reorder+,sentence#rephrase*,sentence#split*,sentence#split*adverbial_clause+,sentence#split*appositive_phrase+,sentence#split*coordinate_clause+,sentence#split*other+,sentence#split*relative_clause+,sentence#split*subordinate_clause+,sentence#verbal_changes*,sentence#verbal_changes*other+,sentence#verbal_changes*verb_mood+,sentence#verbal_changes*verb_tense+,sentence#verbal_changes*voice_of_verb+,word#,word#deletion*,word#deletion*abbreviations+,word#deletion*discourse_markers+,word#deletion*filler_words+,word#deletion*other+,word#inflection*,word#insert*,word#insert*ellipsis_filled+,word#insert*other+,word#lexical_substitution*,word#lexical_substitution*abbreviation+,word#lexical_substitution*anaphora+,word#lexical_substitution*compound_segmentation+,word#lexical_substitution*date+,word#lexical_substitution*hypernym+,word#lexical_substitution*hyponym+,word#lexical_substitution*metaphor_resolution+,word#lexical_substitution*more_frequent_word+,word#lexical_substitution*nominalization+,word#lexical_substitution*number+,word#lexical_substitution*other+,word#lexical_substitution*shorter_word+,word#lexical_substitution*synonym+
"Der Generator kann rund sieben Watt erzeugen – um Mobiltelefone, Taschenlampen oder GPS-Geräte mit Energie zu speisen.","Der Generator kann rund sieben Watt erzeugen – um Mobiltelefone, Taschenlampen oder GPS-Geräte mit Energie zu versorgen.",54-1-1-3,54-0-1-3,54,language learner,Alumniportal-2021,b2,a2,CC_BY_4,Kooperation Alumniportal Deutschland - Alumniportal Deutschland,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/lesetexte-sprachniveau-a1-a2/online-deutsch-lernen-uebungen-energie-1-a/,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/b1-b2/online-deutsch-lernen-uebungen-energie-1-b/,Das Kraftwerk Mensch als alternative Energiequelle,Das Kraftwerk Mensch als alternative Energiequelle,2021-03-29,1,1:1,0,0,,1.0,1.0,5.0,5.0,2.0,2.0,0.0,1.0,5.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
So schnell kann man zu Fuß oder mit der Bahn keinen Rundgang machen.,Ein großer Vorteil des virtuellen Museums: So schnell kann man zu Fuß oder mit der Bahn keinen Rundgang machen!,56-1-1-5,56-0-1-5,56,language learner,Alumniportal-2021,b2,a2,CC_BY_4,Kooperation Alumniportal Deutschland - Alumniportal Deutschland,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/lesetexte-sprachniveau-a1-a2/online-deutsch-lernen-uebungen-museum-a/,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/b1-b2/online-deutsch-lernen-uebungen-museum-b/,Das Online-Museum ist immer geöffnet,Das Online-Museum ist immer geöffnet,2021-03-29,1,1:1,0,0,,1.0,1.0,5.0,5.0,2.0,2.0,2.0,0.0,5.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"In den 34 Industriestaaten, die zur OECD gehören, liegt die Differenz im Schnitt bei 16 Prozent.","In den 34 Industriestaaten, die zur OECD gehören, liegt die Differenz bei 16 Prozent.",57-1-1-1,57-0-1-3,57,language learner,Alumniportal-2021,b2,a2,CC_BY_4,Kooperation Alumniportal Deutschland - Alumniportal Deutschland,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/lesetexte-sprachniveau-a1-a2/online-deutsch-lernen-uebungen-spitzenpositionen-a/,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/b1-b2/online-deutsch-lernen-uebungen-spitzenpositionen-b/,Frauen in Spitzenpositionen: In Deutschland ist die Luft da oben dünn,Frauen in Spitzenpositionen: In Deutschland ist die Luft da oben dünn,2021-03-29,1,1:1,0,0,,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"An der Spitze, in den Führungspositionen, ist für Frauen ""die Luft dünn"". In Deutschlands großen Banken, Energie- und Automobilfirmen, in den Telefon- und Kommunikationsunternehmen, die an der Börse gelistet sind, arbeiten nur sehr wenige Frauen:","Hier ist ""die Luft dünn"" in Deutschlands großen Banken, Energie- und Automobilfirmen, in den Telefon- und Kommunikationsunternehmen, die an der Börse gelistet sind.",57-1-0-4|57-1-0-5,57-0-0-4,57,language learner,Alumniportal-2021,b2,a2,CC_BY_4,Kooperation Alumniportal Deutschland - Alumniportal Deutschland,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/lesetexte-sprachniveau-a1-a2/online-deutsch-lernen-uebungen-spitzenpositionen-a/,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/b1-b2/online-deutsch-lernen-uebungen-spitzenpositionen-b/,Frauen in Spitzenpositionen: In Deutschland ist die Luft da oben dünn,Frauen in Spitzenpositionen: In Deutschland ist die Luft da oben dünn,2021-03-29,1,2:1,0,0,,4.0,4.0,5.0,5.0,2.0,2.0,-1.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Google hat vor über einem Jahr 17 bedeutende Museen und Galerien im Internet unter ""Art Project"" für alle zugänglich gemacht.","Google hat vor über einem Jahr 17 Museen und Galerien im Internet unter ""Art Project"" eröffnet.",56-1-0-0,56-0-0-0,56,language learner,Alumniportal-2021,b2,a2,CC_BY_4,Kooperation Alumniportal Deutschland - Alumniportal Deutschland,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/lesetexte-sprachniveau-a1-a2/online-deutsch-lernen-uebungen-museum-a/,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/b1-b2/online-deutsch-lernen-uebungen-museum-b/,Das Online-Museum ist immer geöffnet,Das Online-Museum ist immer geöffnet,2021-03-29,1,1:1,0,0,,1.0,1.0,5.0,5.0,2.0,2.0,0.0,0.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Auch in der Schule wird das Reden in der Mundart gefördert, denn vielerorts wird es in den Unterricht integriert.","Heute lernen in einigen Regionen sogar die Schüler im Unterreicht wieder "" ihren"" Dialekt.",58-1-2-3,58-0-1-5|58-0-1-6,58,language learner,Alumniportal-2021,b2,a2,CC_BY_4,Kooperation Alumniportal Deutschland - Alumniportal Deutschland,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/lesetexte-sprachniveau-a1-a2/online-deutsch-lernen-uebungen-dialekte-a/,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/b1-b2/online-deutsch-lernen-uebungen-dialekte-b/,Deutsche Sprache - Deutsche Dialekte,Deutsche Sprache - Deutsche Dialekte,2021-03-29,1,1:2,0,0,0 days 00:02:14.309291,1.0,1.0,5.0,5.0,2.0,1.0,0.0,1.0,4.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Er besteht aus beschilderten Stationen an historischen Orten in Bonn.,Er besteht aus Stationen an historischen Orten in Bonn.,56-1-1-1,56-0-1-1,56,language learner,Alumniportal-2021,b2,a2,CC_BY_4,Kooperation Alumniportal Deutschland - Alumniportal Deutschland,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/lesetexte-sprachniveau-a1-a2/online-deutsch-lernen-uebungen-museum-a/,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/b1-b2/online-deutsch-lernen-uebungen-museum-b/,Das Online-Museum ist immer geöffnet,Das Online-Museum ist immer geöffnet,2021-03-29,1,1:1,0,0,,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sie sollen die Natur dabei nah, intensiv und ursprünglich erleben.","Die Natur sollen sie dabei nah, intensiv und ursprünglich erleben.",55-1-2-2,55-0-2-2,55,language learner,Alumniportal-2021,b2,a2,CC_BY_4,Kooperation Alumniportal Deutschland - Alumniportal Deutschland,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/lesetexte-sprachniveau-a1-a2/online-deutsch-lernen-uebungen-reisen-a/,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/b1-b2/online-deutsch-lernen-uebungen-reisen-b/,Deutschland ist zum Verreisen schön,Deutschland ist zum Verreisen schön,2021-03-29,1,1:1,0,0,,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,0.0,4.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Der Rundgang beginnt am Haus der Geschichte der Bundesrepublik Deutschland und führt in etwa 90 bis 120 Minuten an zwölf der 18 Stationen vorbei.,Der Rundgang beginnt am Haus der Geschichte der Bundesrepublik Deutschland und führt an zwölf der 18 Stationen vorbei.,56-1-1-3,56-0-1-3,56,language learner,Alumniportal-2021,b2,a2,CC_BY_4,Kooperation Alumniportal Deutschland - Alumniportal Deutschland,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/lesetexte-sprachniveau-a1-a2/online-deutsch-lernen-uebungen-museum-a/,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/b1-b2/online-deutsch-lernen-uebungen-museum-b/,Das Online-Museum ist immer geöffnet,Das Online-Museum ist immer geöffnet,2021-03-29,1,1:1,0,0,,1.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"So kann man mit Bildern, Videos und Texten bequem vom Computer aus Geschichte und Kultur erleben und sich so viel Zeit wie nötig lassen.","Mit Bildern, Videos und Texten kann man bequem vom Computer aus Geschichte und Kultur erleben.",56-1-0-3,56-0-0-3,56,language learner,Alumniportal-2021,b2,a2,CC_BY_4,Kooperation Alumniportal Deutschland - Alumniportal Deutschland,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/lesetexte-sprachniveau-a1-a2/online-deutsch-lernen-uebungen-museum-a/,https://www.alumniportal-deutschland.org/digitales-lernen/deutsche-sprache/lesetexte/b1-b2/online-deutsch-lernen-uebungen-museum-b/,Das Online-Museum ist immer geöffnet,Das Online-Museum ist immer geöffnet,2021-03-29,1,1:1,0,0,,2.0,1.0,2.0,5.0,2.0,2.0,-1.0,0.0,4.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
